,Date,P_tags,LI_tags,URL_Text,URLs,Text
0,,"['Board Meeting', 'Complaint(s)', 'Allegation(s)', 'Board Findings']",[],[],[],No text here
1,,['There were no cases reviewed during the month of January.'],[],[],[],No text here
2,8-February 2024,"['8-February 2024', 'Case #22-105', 'Board Letter to Chief (pdf)', 'Chief Preliminary Response (pdf)', 'Chief Final Response (pdf)']","['Conduct', 'Appropriate Action Required']",Board Letter to Chief (pdf),https://acrbgov.org/wp-content/uploads/2024/02/To-APD-Chief-RE-ACRB-Case-No.-22-105.pdf," 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
ACRB MEMBERS 
Tamara Orange 
Interim Chairperson 
 
Leah Pulliam  
Secretary 
 
Germaine Austin 
Conchita Floyd 
Adrianne Proeller 
Sharese Reyes 
Kaylin Strahan 
Michael Turner 
Kelvin Williams 
Gloria Hawkins-Wynn 
 
Samuel Lee Reid, II 
Executive Director 
 
MAYOR OF ATLANTA 
Andre Dickens 
 
ATLANTA CITY COUNCIL 
Doug Shipman 
President 
Jason Winston 
District 1 
Amir R. Farokhi 
District 2 
Byron Amos 
District 3 
Jason Dozier 
District 4 
Liliana Bakhtiari 
District 5 
Alex Wan 
District 6 
Howard Shook 
District 7 
Mary Norwood 
District 8 
Dustin Hills 
District 9 
Andrea L. Boone 
District 10 
Marci Collier Overstreet 
District 11 
Antonio Lewis 
District 12 
Michael Julian Bond 
Post 1 At Large 
Matt Westmoreland 
Post 2 At Large 
Keisha Sean Waites 
Post 3 At Large 
55 Trinity Avenue, S.W. | City Hall Tower | Suite 1225 | Atlanta, GA 30303 | www.acrbgov.org | 404-865-8622 
February 26, 2024 
 
 
 
 
Chief Darin Schierbaum 
Department of Police  
City of Atlanta 
226 Peachtree Street, S.W. 
Atlanta, Georgia 30303 
 
 
RE: Complaint of 
, ACRB File 
No. 22-105 
 
 
Dear Chief Schierbaum: 
 
Please be advised that the Atlanta Citizen Review Board (“ACRB”) has concluded 
its investigation and adjudication of the complaint filed by 
alleging that 
on October 12, 2022, during a traffic stop, Officer Terrance Holmer (Unique ID No. 7577) 
was rude and unprofessional while speaking with her and her daughter.  Ms. 
 
further alleged that Officer Holmer made her stand in the rain unnecessarily for several 
minutes. 
 
The board determined the following: 
 
1. The allegation of Conduct related to the claim of rude and unprofessional 
behavior be assigned a finding of “Sustained” and recommends, as 
penalty, an Oral Admonishment and Counseling. 
2. The allegation of Appropriate Action Required related to the claim of 
standing in the rain be assigned a finding of “Exonerated.” 
The file is available for review upon request.  The ordinance requires that the Chief 
of Police respond in writing regarding which recommendations are accepted, rejected, or 
will be implemented with modifications within thirty (30) days of the submission of a 
recommendation for action by the board to the Chief (see Sec. 2-2211(O) of the Ordinance 
07-0-0141). 
 
 
Sincerely, 
Tamara Orange 
Tamara Orange 
Interim Chair 
 
TO/cc 
 
cc: Mayor Andre Dickens 
Council President Doug Shipman 
Members of the Atlanta City Council 
ACRB Members 
Executive Director Samuel Lee Reid, II 
"
3,8-February 2024,"['8-February 2024', 'Case #22-105', 'Board Letter to Chief (pdf)', 'Chief Preliminary Response (pdf)', 'Chief Final Response (pdf)']","['Conduct', 'Appropriate Action Required']",Chief Preliminary Response (pdf),https://acrbgov.org/wp-content/uploads/2024/02/APD-Chief-PRELIMINARY-Response-22-105.pdf,"['RECEIVED 2/27/24 BY \nSR\n', ""RECEIVED 2/27/24 BY\n\nSR\nCITY OF ATLANTA\n‘are Dickens 226 Peace Set. SW ‘Ata Police Department\nMayor ‘ania, Geotla 0308 ‘arn Schism\n(abe e0-200 ‘nett Pokies\n\nFebruary 27,2024\nMe. Germaine Austin, Chait\n\n‘ants Citizen Review Board\n\n‘hy Hall Tower- Sulte 9100\n\n55 Trnly Avenue, SW.\n\n‘Aitanta, Ga 30303\n\nRe: ACRB File# 22-105\nDear Mr. Germaine Austin:\n\nlam inrecep ofthe Anta Clie Review Board Ler epg the conse Th\nalleged actions of Atanta Police Ofcer Terrance Holmer on Ocaber 12, 2022, and the Boards determination.\n‘This letter serves in accordance with Sec. 2-2213 ofthe City of Adanta Code of Ordinances, as delineation of\naction taken with respect tothe Alanta Police Invertigaon ofthe evet.\n\n‘The Aianta Police Department's Office of Professional Standards has opened an investigation Into this\nIncident after reelving the Boar's determination leter. Upon the completion ofthe Ofice of Professional\n‘Saandar's investigation, a formal response tothe Board's determination wil be provided\n\n[appreciate the opportunity to correspond with the Alanta Citizen Review Board, and to be made aware of\nthe conceras of the Board, Please donot hesitate to reach outwith any future questions.\n\nSincerely,\n\nDB Le\n\nDarin Sehlerau\nChief of Police\nCty of Alana Police Deparoment\n\nsib\n""]"
4,8-February 2024,"['8-February 2024', 'Case #22-105', 'Board Letter to Chief (pdf)', 'Chief Preliminary Response (pdf)', 'Chief Final Response (pdf)']","['Conduct', 'Appropriate Action Required']",Chief Final Response (pdf),https://acrbgov.org/wp-content/uploads/2024/08/APD-Chief-FINAL-Decision-22-105.pdf,"['RECEIVED 8/13/24 BY SR\n', ""RECEIVED 8/13/24 BY SR\n\nnd Dike 22g Pachee See SY ‘Aig Poze Deparment\nSay ‘ina eer 050 ‘ain scheoon\n(doa) seees00 he of oe\n\n‘August 13, 2024\nMe Germaine Austin\n\n‘lata Chizen Review Board\n\nCy Hall Tower-Sute 9100\n\n155 Trinity Avenue, SW.\n\n‘tanta, Ga 30303\n\nfe: ACRO Fle 22-108\nDear Me. Germaine Aut:\nLam a recip tthe Atta ize Review Bou Letter epi the compli ot IS tne\n‘doged atone of Atria Polce Offer Terrance Holner on Ocabar 12,2022 andthe Bowe\n\nSeterminton. This eter serves In secordance wth Sec 2-221 ofthe Cly of Atanta Code of Ordinances,\n{© Gelneaton cf action taken with respect to the Adana Pobce investigation of the event.\n\n“The Adana Police Departments Ofce of Professional Standards has compated an investigtion int the\nIncdent after receiving the Board's determination leer The fringe forthe OMe of Professional Standards\nrecommended Oicer Terrance Holmer be “Exnerated “on (APD.SOP 2010 4.2.2 Courtesy),\n\nOfficer Terrance Holme’ body worn camece was reviewed. The camera footage shows Oficer Holmer\nates dung he encour wi. Onis yw renin Oc Holnr wangnd t\n\nshatter from ran by he funderneath some wees and moments ltr, he hai\nit nthe ack of his pao vehicle to say cry.\n\n| appreciate the opportunity to correspond with the Atlanta Citizen Review Board, and tobe made anare of\nthe concern ofthe Board. Please do not heat to reach out wh any future quesons:\n\nSincere\n\n‘Dain Scherbaum\nChat of Police\n{Gy of Atanta Police Department\n\nsia\n""]"
5,8-February 2024,"['Case #23-079', 'Board Letter to Chief (pdf)', 'Chief Decision (pdf)']","['Conduct', 'Violation of SOP']",Board Letter to Chief (pdf),https://acrbgov.org/wp-content/uploads/2024/02/To-APD-Chief-RE-ACRB-Case-No.-23-079.pdf," 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
ACRB MEMBERS 
Tamara Orange 
Interim Chairperson 
 
Leah Pulliam  
Secretary 
 
Germaine Austin 
Conchita Floyd 
Adrianne Proeller 
Sharese Reyes 
Kaylin Strahan 
Michael Turner 
Kelvin Williams 
Gloria Hawkins-Wynn 
 
Samuel Lee Reid, II 
Executive Director 
 
MAYOR OF ATLANTA 
Andre Dickens 
 
ATLANTA CITY COUNCIL 
Doug Shipman 
President 
Jason Winston 
District 1 
Amir R. Farokhi 
District 2 
Byron Amos 
District 3 
Jason Dozier 
District 4 
Liliana Bakhtiari 
District 5 
Alex Wan 
District 6 
Howard Shook 
District 7 
Mary Norwood 
District 8 
Dustin Hills 
District 9 
Andrea L. Boone 
District 10 
Marci Collier Overstreet 
District 11 
Antonio Lewis 
District 12 
Michael Julian Bond 
Post 1 At Large 
Matt Westmoreland 
Post 2 At Large 
Keisha Sean Waites 
Post 3 At Large 
55 Trinity Avenue, S.W. | City Hall Tower | Suite 1225 | Atlanta, GA 30303 | www.acrbgov.org | 404-865-8622 
February 26, 2024 
 
 
 
Chief Darin Schierbaum 
Department of Police  
City of Atlanta 
226 Peachtree Street, S.W. 
Atlanta, Georgia 30303 
 
 
RE: Complaint of Kendra McKeown, ACRB File No. 
23-079 
 
 
Dear Chief Schierbaum: 
 
Please be advised that the Atlanta Citizen Review Board (“ACRB”) has concluded 
its investigation and adjudication of the complaint filed by 
 alleging that 
on May 19, 2023, when Officer Vandy Mack (Unique ID No. 4703) responded to her 9-1-
1 call for assistance at the Hartsfield-Jackson Atlanta International Airport Rental Car 
Center, he engaged in inappropriate conduct when he failed to address her courteously by 
stating, “he could be doing something else.”  Ms. 
 further alleged that Officer 
Mack inappropriately requested her identification while in the presence of her co-workers 
and customers. 
 
The board determined the following: 
 
1. The allegation of Conduct related to the claim of discourtesy be assigned 
a finding of “Unfounded.”  
2. The allegation of Violation of Departmental Standard Operating 
Procedures related to the identification request claim be assigned a 
finding of “Exonerated.” 
The file is available for review upon request.  The ordinance requires that the Chief 
of Police respond in writing regarding which recommendations are accepted, rejected, or 
will be implemented with modifications within thirty (30) days of the submission of a 
recommendation for action by the board to the Chief (see Sec. 2-2211(O) of the Ordinance 
07-0-0141). 
 
Sincerely, 
Tamara Orange 
Tamara Orange 
Interim Chair 
 
TO/cc 
 
cc: Mayor Andre Dickens 
Council President Doug Shipman 
Members of the Atlanta City Council 
ACRB Members 
Executive Director Samuel Lee Reid, II 
"
6,8-February 2024,"['Case #23-079', 'Board Letter to Chief (pdf)', 'Chief Decision (pdf)']","['Conduct', 'Violation of SOP']",Chief Decision (pdf),https://acrbgov.org/wp-content/uploads/2024/02/APD-Chief-Decision-23-079.pdf,"['RECEIVED 2/27/24 BY SR\n', ""RECEIVED 2/27/24 BY SR\n\nCITY OF ATLANTA\n\n‘andr Dickens 225 Peaches Sot SW ‘Aianta Police Deparment\nMayor ‘Riana, Georgia 50003 ‘arn Sehertoun\n40s) oases ‘hie Pokce\nFebruary 27,2024\n\nMe. Germaine Austin, Chair\n‘lanes Citizen Review Board\n(hy Hall Tower- Suite 9100\n‘55 Trinity Avenue, SW,\n‘tanta, Ga 30303\n\nRe: ACRB Filet 23-079\nDear Mr Germaine Austin:\n\n‘am in receipt ofthe AUanta Clizen Review Boar's Letter regarding the complaint TR the\nalleged actions of Adanta Police Ofcer Vandy Mack on May 39, 2023, and te Board's determination, This.\nletter serves in accordance with Sec. 2-2213 of the Cl of Atlanta Code of Ordinances, as delineation of ation\ntaken with respect to dhe Adanta Police investigation of the event.\n\n‘The Alana Police Deparemen’s Office of Professional Standards has completed a preliminary investigation\nInto this incident after receiving the Boars determination leter. The Office of Professional Standard's agrees\nwith the Boar's determination of Unfounded and Exonerated” onallegations of Department Standard\nOperating Procedures.\n\nappreciate the opportunity to correspond with the Adank Citizen Review Board, and tbe made aware of\nthe concerns ofthe Board. Pease donot hesitate to reach out with any future questions.\n\nSincerely,\n\nRDB LLe-\n\nDarin Sclerbaumn\nhie of Police\n(ty of Adana Police Department\n\nDs\n""]"
7,14-March 2024,"['14-March 2024', 'Case #22-085', 'Board Letter to Chief (pdf)', 'Chief Preliminary Response (pdf)', 'Chief Final Decision (pdf)']","['Abuse of Authority', 'Violation of SOP']",Board Letter to Chief (pdf),https://acrbgov.org/wp-content/uploads/2024/04/To-APD-Chief-RE-ACRB-Case-No.-22-085.pdf," 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
ACRB MEMBERS 
Germaine Austin 
Chairperson 
 
Kelvin Williams 
Vice Chairperson 
 
Leah Pulliam  
Secretary 
 
Andrea Bilbija 
Conchita Floyd 
Tamara Orange 
Adrianne Proeller 
Sharese Reyes 
Kaylin Strahan 
Michael Turner 
Gloria Hawkins-Wynn 
 
Samuel Lee Reid, II 
Executive Director 
 
MAYOR OF ATLANTA 
Andre Dickens 
 
ATLANTA CITY COUNCIL 
Doug Shipman 
President 
Jason Winston 
District 1 
Amir R. Farokhi 
District 2 
Byron Amos 
District 3 
Jason Dozier 
District 4 
Liliana Bakhtiari 
District 5 
Alex Wan 
District 6 
Howard Shook 
District 7 
Mary Norwood 
District 8 
Dustin Hills 
District 9 
Andrea L. Boone 
District 10 
Marci Collier Overstreet 
District 11 
Antonio Lewis 
District 12 
Michael Julian Bond 
Post 1 At Large 
Matt Westmoreland 
Post 2 At Large 
Vacant 
Post 3 At Large 
55 Trinity Avenue, S.W. | City Hall Tower | Suite 1225 | Atlanta, GA 30303 | www.acrbgov.org | 404-865-8622 
April 16, 2024 
 
 
 
 
Chief Darin Schierbaum 
Department of Police  
City of Atlanta 
226 Peachtree Street, S.W. 
Atlanta, Georgia 30303 
 
 
RE: Complaint of 
, ACRB 
File No. 22-085 
 
Dear Chief Schierbaum: 
 
Please be advised that the Atlanta Citizen Review Board (“ACRB”) has 
concluded its investigation and adjudication of the complaint filed by 
 
 alleging that between September 2021 and March 2022, unidentified Atlanta 
Police officers abused their authority when they ran her name without justification. 
 
During the investigation, it was determined that the involved officers were 
Sergeant Andrew Moline (Unique ID No. 3764) and Officer Ferdinan Brumant 
(Unique ID No. 7809). 
 
The board determined the following for Sergeant Moline: 
 
1. The allegation of Abuse of Authority be assigned a finding 
“Exonerated.” 
2. The allegation of Violation of Departmental Standard Operating 
Procedures related to the officer’s failure to document the encounter 
with Ms. 
and the running of her name be assigned a finding of 
“Exonerated.” 
The board determined the following for Officer Brumant: 
 
1. The allegation of Abuse of Authority be assigned a finding 
“Exonerated.” 
2. The allegation of Violation of Departmental Standard Operating 
Procedures related to the officer’s failure to document the encounter 
with Ms. 
 and the running of her name be assigned a finding of 
“Exonerated.” 
3. The allegation of Violation of Departmental Standard Operating 
Procedures related to the officer’s failure to activate his body worn 
camera and record his encounter with Ms. 
 be assigned a 
finding of “Sustained” and recommends, as penalty, a three (3) 
day suspension.” 
4.  
Continued Page 2… 
 
 
Chief Darin Schierbaum 
RE: ACRB Complaint of 
 ACRB File No. 22-085 
April 16, 2024 
Page 2 
 
 
 
 
The file is available for review upon request.  The ordinance requires that the Chief of Police respond 
in writing regarding which recommendations are accepted, rejected, or will be implemented with modifications 
within thirty (30) days of the submission of a recommendation for action by the board to the Chief (see Sec. 2-
2211(O) of the Ordinance 07-0-0141). 
 
 
Sincerely, 
Germaine Austin 
Germaine Austin 
Chair 
 
 
GA/cc 
 
 
cc: 
Mayor Andre Dickens 
Council President Doug Shipman 
Members of the Atlanta City Council 
ACRB Members 
ACRB Executive Director Samuel Lee Reid, II 
 
"
8,14-March 2024,"['14-March 2024', 'Case #22-085', 'Board Letter to Chief (pdf)', 'Chief Preliminary Response (pdf)', 'Chief Final Decision (pdf)']","['Abuse of Authority', 'Violation of SOP']",Chief Preliminary Response (pdf),https://acrbgov.org/wp-content/uploads/2024/04/APD-Chief-PRELIMINARY-Response-22-085.pdf,"['By SR at 12:40 pm, Apr 19, 2024\n', 'RECEIVED\nBy SR at 12:40 pm, Apr 19, 2024\n\nCITY OF ATLANTA\n\n‘ost Dickens 2 penn Sve 50 sat Poen Oeoant\n‘ayer ‘ara, Geotga 50003 rn Sciaro\n""a0e) sates ‘Chietot Poles\n‘April 19,2028\n\nMr. Germaine Austin, Chair\n‘Alanta Gizen Review Board\nGy Hall Tower: Suite 9100\n55 Trinity Avenue, SW.\n‘tanta, Ga 30303\n\nRe: ACRE File# 22.088,\nDear Mr. Germaine Austin:\n\n‘am in receipt of the Adanta Citizen Review Boards Letter regarding the complaint fT. he\nalleged actions of Atanta Police Sergeant Andrew Moline and AUanta Police Officer Fedinan Brumant\nbetween September 2021 and March 2022, and the Boar\'s determination. This letter serves in accordance\nith Sec. 2-2213 of the City of Atlanta Code of Ordinances, as delineation of ation taken with respect to the\n‘Ailanta Police investigation of the event\n\n‘The Atlanta Police Department’ Office of Professional Standards has opened an investigation into this\nIncident after receiving the Boar’ determination letter. Upon the completion ofthe Office of Professional\nStandard’s invesugaion, a formal response tothe Boar\'s determination willbe provided.\n\n{appreciate the opportunity to correspond withthe Alana Citizen Review Board, and to be made aware of\nthe concerns of he Board. Pease donot hesitate to reach out with any future questions.\n\nSincerely,\n\nDB Loe\n\nDarin Schlerbaum\nChief of Police\n(ly of Atlanta Police Department\n\nDsyrib\n']"
9,14-March 2024,"['14-March 2024', 'Case #22-085', 'Board Letter to Chief (pdf)', 'Chief Preliminary Response (pdf)', 'Chief Final Decision (pdf)']","['Abuse of Authority', 'Violation of SOP']",Chief Final Decision (pdf),https://acrbgov.org/wp-content/uploads/2024/11/APD-Chief-FINAL-Decision-22-085.pdf,"['By Sheena Robertson at 2:25 pm, Nov 08, 2024\n', ""RECEIVED\n\nBy Sheena Robertson at 2:25 pm, Nov 08, 2024\n\nCITY OF ATLANTA\n\nAnde Dikcot 226 ache See SW Ata Poe Deprneat\n‘Mayor “a cee Sees\nNovember 6, 2024\n\nMe Gemaine Austin\n‘AlantaClizen Review Board\nay Hal Tower- Suse 9100,\n53 Tiny Avenue, SW.\n‘Atota, 30303\n\nRe: ACRB Filet 22.085\nDear Me. Germaine Aust\n\n1\n\nthe abeged actions of Atta Police Offer Feria\ndetermination, This kt serve accordance wih Sex. 2.2213 ofthe Cty of Alana Code of\n‘Onaances, ss deleaton of ston taken with respect tothe Alena Pole invention of the event\n\n‘The Aaa Police Depantment’s Office of Profesional Standards hs completed an investigation tothe\nIncident after eceving the Boe’ determination ter. The fading or the Oice of Profesional\n‘Standards recommended Officer Feria Bramant be “Sustained on (APD'SOP 3133 Body Wom\nCamens)\n\ntes Feriund rma Wien Repu fr ising i gens Std\n‘Opening Procedure dng hs pobce encounter wih te complainant\n\n1 appreciate the opportunity to conespond wih the Alinta Cizen Review Board, and io be made aware\n‘of the concems of the Boat. Please do 21 hettaeo reach ov wih any future questions.\n\nRDB ile\n\natin Shierbaum\nChit of Poe\n(Cay of Atants Police Department\n""]"
